"retrieval_time","user_name","host_name","licenses_used_by_user","is_reservation","licenses_total","licenses_total_in_use","feature_name","feature_version","daemon_name","server_master_port","server_master_host","server_port","server_host"
"1/25/2021 16:41","J62842","ITE00486575","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s101075","ITE00532287","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M39781","ITE00504921","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M35219","ITE00515890","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","m62468","ITE00528641","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s116664","LC30PCE00384838","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M28858","ITE00511793","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M51768","ITE00507629","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J65995","ITE00493043","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","16","1","CCD","6.215","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J85770","ITE00433667","1","","16","1","CCD","6.215","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","2","2","DL1","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","hoodwi1","ITE00475447","1","","2","2","DL1","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","B54572","ITE00496798","1","","2","2","DL1","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","11","1","DMN","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s113229","ITE00528955","1","","11","1","DMN","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","3","1","DSE","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","hoodwi1","ITE00475447","1","","3","1","DSE","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","sojobke","ITE00516565","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M40458","ITE00530274","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s380702","ITE00499122","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M26369","ITE00479433","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J67142","ITE00465272","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J62842","ITE00486575","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J64191","ITE00480242","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s101075","ITE00532287","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s380604","ITE00510951","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M39781","ITE00504921","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J55255","ITE00468348","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J54695","ITE00465053","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J56896","ITE00452771","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M67210","ITE00536324","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s113357","ITE00471830","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","B58145","ITE00441866","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M35219","ITE00515890","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","m62468","ITE00528641","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s116664","LC30PCE00384838","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","j41886","ITE00452740","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M41183","ITE00441070","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s092639","ITE00451559","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s114982","ITE00431860","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M28858","ITE00511793","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J37728","ITE00461825","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J55228","ITE00432290","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M51768","ITE00507629","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s117459","ITE00430280","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J65995","ITE00493043","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s115214","ITE00527751","1","","107","30","EDR","6.419","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","","","","","51","15","EHI","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","kurjari","ITE00460000","1","","51","15","EHI","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J96528","ITE00473558","1","","51","15","EHI","5.26","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","crovoro","ITE00452601","1","","51","15","EHI","5.26","Dassault Systemes","","","4084","sarebraslic81"
